Date,Price,Open,High,Low,Vol.,Change %,,459.25%,-398.54%,,,,,
9/5/2023,256.49,245,258,244.86,128.78M,4.69%,0.17%,4.69%,0.00%,,,,,0.17%
9/1/2023,245.01,257.26,259.08,242.01,132.54M,-5.06%,0.16%,0.00%,-5.06%,,,,,0.16%
8/31/2023,258.08,255.98,261.18,255.05,108.14M,0.46%,0.15%,0.46%,0.00%,,,,,0.15%
8/30/2023,256.9,254.2,260.51,250.59,121.66M,-0.11%,0.10%,0.00%,-0.11%,,,,,0.10%
8/29/2023,257.18,238.58,257.48,237.77,133.13M,7.69%,0.10%,7.69%,0.00%,,,,,0.10%
8/28/2023,238.82,242.58,244.38,235.35,107.29M,0.10%,0.10%,0.10%,0.00%,,,,,0.10%
8/25/2023,238.59,231.31,239,230.35,106.61M,3.72%,0.07%,3.72%,0.00%,,,,,0.07%
8/24/2023,230.04,238.66,238.92,228.18,99.19M,-2.88%,0.04%,0.00%,-2.88%,,,,,0.04%
8/23/2023,236.86,229.34,238.98,229.29,98.61M,1.57%,-0.02%,1.57%,0.00%,,,,,0.00%
8/22/2023,233.19,240.25,240.82,229.55,130.23M,0.83%,-0.03%,0.83%,0.00%,,,,,0.00%
8/21/2023,231.28,221.55,232.13,220.58,134.51M,7.33%,-0.04%,7.33%,0.00%,,,,,0.00%
8/18/2023,215.49,214.12,217.58,212.36,136.28M,-1.70%,-0.08%,0.00%,-1.70%,,,,,0.00%
8/17/2023,219.22,226.06,226.74,218.83,119.13M,-2.83%,-0.11%,0.00%,-2.83%,,,,,0.00%
8/16/2023,225.6,228.02,233.97,225.38,111.54M,-3.16%,-0.13%,0.00%,-3.16%,,,,,0.00%
8/15/2023,232.96,238.73,240.5,232.61,87.34M,-2.84%,-0.17%,0.00%,-2.84%,,,,,0.00%
8/14/2023,239.76,235.7,240.66,233.75,98.60M,-1.19%,-0.18%,0.00%,-1.19%,,,,,0.00%
8/11/2023,242.65,241.77,243.79,238.02,99.04M,-1.10%,-0.22%,0.00%,-1.10%,,,,,0.00%
8/10/2023,245.34,245.4,251.8,243,109.04M,1.30%,-0.24%,1.30%,0.00%,,,,,0.00%
8/9/2023,242.19,250.87,251.1,241.9,99.98M,-3.01%,-0.25%,0.00%,-3.01%,,,,,0.00%
8/8/2023,249.7,247.45,250.92,245.01,96.36M,-0.70%,-0.25%,0.00%,-0.70%,,,,,0.00%
8/7/2023,251.45,251.45,253.65,242.76,111.10M,-0.95%,-0.30%,0.00%,-0.95%,,,,,0.00%
8/4/2023,253.86,260.97,264.77,253.11,99.54M,-2.11%,-0.31%,0.00%,-2.11%,,,,,0.00%
8/3/2023,259.32,252.04,260.49,252,96.95M,2.05%,-0.32%,2.05%,0.00%,,,,,0.00%
8/2/2023,254.11,255.57,259.52,250.49,100.98M,-2.67%,-0.33%,0.00%,-2.67%,,,,,0.00%
8/1/2023,261.07,266.26,266.47,260.25,82.50M,-2.38%,-0.35%,0.00%,-2.38%,,,,,0.00%
7/31/2023,267.43,267.48,269.08,263.78,84.27M,0.37%,-0.35%,0.37%,0.00%,,,,,0.00%
7/28/2023,266.44,259.86,267.25,258.23,111.45M,4.20%,-0.36%,4.20%,0.00%,,,,,0.00%
7/27/2023,255.71,268.31,269.13,255.3,103.70M,-3.27%,-0.43%,0.00%,-3.27%,,,,,0.00%
7/26/2023,264.35,263.25,268.04,261.75,95.86M,-0.35%,-0.43%,0.00%,-0.35%,,,,,0.00%
7/25/2023,265.28,272.38,272.9,265,112.76M,-1.40%,-0.48%,0.00%,-1.40%,,,,,0.00%
7/24/2023,269.06,255.85,269.85,254.12,137.01M,3.48%,-0.50%,3.48%,0.00%,,,,,0.00%
7/21/2023,260.02,268,268,255.8,161.80M,-1.10%,-0.52%,0.00%,-1.10%,,,,,0.00%
7/20/2023,262.9,279.56,280.93,261.2,175.16M,-9.74%,-0.56%,0.00%,-9.74%,,,,,0.00%
7/19/2023,291.26,296.04,299.29,289.52,142.36M,-0.71%,-0.60%,0.00%,-0.71%,,,,,0.00%
7/18/2023,293.34,290.15,295.26,286.01,111.59M,1.02%,-0.63%,1.02%,0.00%,,,,,0.00%
7/17/2023,290.38,286.63,292.23,283.57,130.18M,3.20%,-0.70%,3.20%,0.00%,,,,,0.00%
7/14/2023,281.38,277.01,285.3,276.31,120.06M,1.25%,-0.71%,1.25%,0.00%,,,,,0.00%
7/13/2023,277.9,274.59,279.45,270.6,112.68M,2.17%,-0.74%,2.17%,0.00%,,,,,0.00%
7/12/2023,271.99,276.32,276.52,271.46,95.67M,0.82%,-0.76%,0.82%,0.00%,,,,,0.00%
7/11/2023,269.79,268.65,270.9,266.37,91.97M,0.07%,-0.77%,0.07%,0.00%,,,,,0.00%
7/10/2023,269.61,276.47,277.52,265.1,119.43M,-1.76%,-0.77%,0.00%,-1.76%,,,,,0.00%
7/7/2023,274.43,278.43,280.78,273.77,113.88M,-0.76%,-0.92%,0.00%,-0.76%,,,,,0.00%
7/6/2023,276.54,278.09,279.97,272.88,120.71M,-2.10%,-0.94%,0.00%,-2.10%,,,,,0.00%
7/5/2023,282.48,278.82,283.85,277.6,131.53M,0.95%,-0.94%,0.95%,0.00%,,,,,0.00%
7/3/2023,279.82,276.49,284.25,275.11,119.69M,6.90%,-0.94%,6.90%,0.00%,,,,,0.00%
6/30/2023,261.77,260.6,264.45,259.89,112.62M,1.66%,-0.95%,1.66%,0.00%,,,,,0.00%
6/29/2023,257.5,258.03,260.74,253.61,131.28M,0.49%,-0.97%,0.49%,0.00%,,,,,0.00%
6/28/2023,256.24,249.7,259.88,248.89,159.77M,2.41%,-1.05%,2.41%,0.00%,,,,,0.00%
6/27/2023,250.21,243.24,250.39,240.85,164.97M,3.80%,-1.06%,3.80%,0.00%,,,,,0.00%
6/26/2023,241.05,250.06,258.37,240.7,179.99M,-6.06%,-1.10%,0.00%,-6.06%,,,,,0.00%
6/23/2023,256.6,259.29,262.45,252.8,177.46M,-3.03%,-1.10%,0.00%,-3.03%,,,,,0.00%
6/22/2023,264.61,250.77,265,248.25,166.88M,1.98%,-1.11%,1.98%,0.00%,,,,,0.00%
6/21/2023,259.46,275.13,276.99,257.78,211.80M,-5.46%,-1.12%,0.00%,-5.46%,,,,,0.00%
6/20/2023,274.45,261.5,274.75,261.12,165.61M,5.34%,-1.14%,5.34%,0.00%,,,,,0.00%
6/16/2023,260.54,258.92,263.6,257.21,167.92M,1.81%,-1.14%,1.81%,0.00%,,,,,0.00%
6/15/2023,255.9,248.4,258.95,247.29,160.17M,-0.35%,-1.15%,0.00%,-0.35%,,,,,0.00%
6/14/2023,256.79,260.17,261.57,250.5,170.58M,-0.74%,-1.16%,0.00%,-0.74%,,,,,0.00%
6/13/2023,258.71,253.51,259.68,251.34,162.38M,3.55%,-1.16%,3.55%,0.00%,,,,,0.00%
6/12/2023,249.83,247.94,250.97,244.59,150.74M,2.22%,-1.19%,2.22%,0.00%,,,,,0.00%
6/9/2023,244.4,249.07,252.42,242.02,200.24M,4.06%,-1.19%,4.06%,0.00%,,,,,0.00%
6/8/2023,234.86,224.22,235.23,223.01,164.49M,4.58%,-1.25%,4.58%,0.00%,,,,,0.00%
6/7/2023,224.57,228,230.83,223.2,185.71M,1.47%,-1.36%,1.47%,0.00%,,,,,0.00%
6/6/2023,221.31,216.14,221.91,212.53,146.91M,1.70%,-1.37%,1.70%,0.00%,,,,,0.00%
6/5/2023,217.61,217.8,221.29,214.52,151.14M,1.70%,-1.40%,1.70%,0.00%,,,,,0.00%
6/2/2023,213.97,210.15,217.25,209.75,164.40M,3.11%,-1.43%,3.11%,0.00%,,,,,0.00%
6/1/2023,207.52,202.59,209.8,199.37,148.03M,1.76%,-1.43%,1.76%,0.00%,,,,,0.00%
5/31/2023,203.93,199.78,203.95,195.12,150.71M,1.38%,-1.46%,1.38%,0.00%,,,,,0.00%
5/30/2023,201.16,200.1,204.48,197.53,128.82M,4.14%,-1.47%,4.14%,0.00%,,,,,0.00%
5/26/2023,193.17,184.62,198.6,184.53,162.06M,4.72%,-1.48%,4.72%,0.00%,,,,,0.00%
5/25/2023,184.47,186.54,186.78,180.58,96.87M,0.86%,-1.51%,0.86%,0.00%,,,,,0.00%
5/24/2023,182.9,182.23,184.22,178.22,137.61M,-1.54%,-1.53%,0.00%,-1.54%,,,,,0.00%
5/23/2023,185.77,186.2,192.96,185.26,156.95M,-1.64%,-1.53%,0.00%,-1.64%,,,,,0.00%
5/22/2023,188.87,180.7,189.32,180.11,132.00M,4.85%,-1.54%,4.85%,0.00%,,,,,0.00%
5/19/2023,180.14,177.17,181.95,176.31,136.20M,1.84%,-1.54%,1.84%,0.00%,,,,,0.00%
5/18/2023,176.89,174.22,177.06,172.45,109.52M,1.74%,-1.57%,1.74%,0.00%,,,,,0.00%
5/17/2023,173.86,168.41,174.5,167.19,125.47M,4.41%,-1.60%,4.41%,0.00%,,,,,0.00%
5/16/2023,166.52,165.65,169.52,164.35,98.29M,0.10%,-1.62%,0.10%,0.00%,,,,,0.00%
5/15/2023,166.35,167.66,169.76,164.55,105.59M,-0.97%,-1.64%,0.00%,-0.97%,,,,,0.00%
5/12/2023,167.98,176.07,177.38,167.23,157.85M,-2.38%,-1.66%,0.00%,-2.38%,,,,,0.00%
5/11/2023,172.08,168.7,173.57,166.79,103.89M,2.10%,-1.68%,2.10%,0.00%,,,,,0.00%
5/10/2023,168.54,172.55,174.43,166.68,119.84M,-0.36%,-1.70%,0.00%,-0.36%,,,,,0.00%
5/9/2023,169.15,168.95,169.82,166.56,88.97M,-1.54%,-1.70%,0.00%,-1.54%,,,,,0.00%
5/8/2023,171.79,173.72,173.8,169.19,112.25M,1.02%,-1.76%,1.02%,0.00%,,,,,0.00%
5/5/2023,170.06,163.97,170.79,163.51,107.61M,5.50%,-1.78%,5.50%,0.00%,,,,,0.00%
5/4/2023,161.2,162.71,162.95,159.65,95.11M,0.37%,-1.83%,0.37%,0.00%,,,,,0.00%
5/3/2023,160.61,160.01,165,159.91,119.73M,0.19%,-1.85%,0.19%,0.00%,,,,,0.00%
5/2/2023,160.31,161.88,165.49,158.93,128.26M,-0.94%,-1.86%,0.00%,-0.94%,,,,,0.00%
5/1/2023,161.83,163.17,163.28,158.83,109.02M,-1.51%,-1.89%,0.00%,-1.51%,,,,,0.00%
4/28/2023,164.31,160.9,165,157.32,122.52M,2.57%,-1.92%,2.57%,0.00%,,,,,0.00%
4/27/2023,160.19,152.64,160.48,152.37,127.02M,4.19%,-1.98%,4.19%,0.00%,,,,,0.00%
4/26/2023,153.75,160.29,160.67,153.14,153.36M,-4.31%,-2.01%,0.00%,-4.31%,,,,,0.00%
4/25/2023,160.67,159.82,163.47,158.75,122.00M,-1.16%,-2.02%,0.00%,-1.16%,,,,,0.00%
4/24/2023,162.55,164.65,165.65,158.61,140.01M,-1.53%,-2.02%,0.00%,-1.53%,,,,,0.00%
4/21/2023,165.08,164.8,166,161.32,123.54M,1.28%,-2.03%,1.28%,0.00%,,,,,0.00%
4/20/2023,162.99,166.16,169.7,160.56,210.97M,-9.75%,-2.06%,0.00%,-9.75%,,,,,0.00%
4/19/2023,180.59,179.1,183.5,177.65,125.73M,-2.02%,-2.10%,0.00%,-2.02%,,,,,0.00%
4/18/2023,184.31,187.15,187.69,183.58,92.07M,-1.46%,-2.11%,0.00%,-1.46%,,,,,0.00%
4/17/2023,187.04,186.32,189.69,182.69,116.66M,1.10%,-2.17%,1.10%,0.00%,,,,,0.00%
4/14/2023,185,183.95,186.28,182.01,96.44M,-0.48%,-2.18%,0.00%,-0.48%,,,,,0.00%
4/13/2023,185.9,182.96,186.5,180.94,112.93M,2.97%,-2.23%,2.97%,0.00%,,,,,0.00%
4/12/2023,180.54,190.74,191.58,180.31,150.26M,-3.35%,-2.24%,0.00%,-3.35%,,,,,0.00%
4/11/2023,186.79,186.69,189.19,185.65,115.77M,1.24%,-2.25%,1.24%,0.00%,,,,,0.00%
4/10/2023,184.51,179.94,185.1,176.11,142.15M,-0.30%,-2.28%,0.00%,-0.30%,,,,,0.00%
4/6/2023,185.06,183.08,186.39,179.74,123.86M,-0.25%,-2.32%,0.00%,-0.25%,,,,,0.00%
4/5/2023,185.52,190.51,190.68,183.76,133.88M,-3.67%,-2.38%,0.00%,-3.67%,,,,,0.00%
4/4/2023,192.58,197.32,198.74,190.32,126.46M,-1.12%,-2.38%,0.00%,-1.12%,,,,,0.00%
4/3/2023,194.77,199.91,202.69,192.2,169.55M,-6.12%,-2.57%,0.00%,-6.12%,,,,,0.00%
3/31/2023,207.46,197.53,207.79,197.2,170.22M,6.24%,-2.62%,6.24%,0.00%,,,,,0.00%
3/30/2023,195.28,195.58,197.33,194.42,110.25M,0.72%,-2.67%,0.72%,0.00%,,,,,0.00%
3/29/2023,193.88,193.13,195.29,189.44,123.66M,2.48%,-2.71%,2.48%,0.00%,,,,,0.00%
3/28/2023,189.19,192,192.35,185.43,98.65M,-1.37%,-2.76%,0.00%,-1.37%,,,,,0.00%
3/27/2023,191.81,194.41,197.39,189.94,120.85M,0.74%,-2.81%,0.74%,0.00%,,,,,0.00%
3/24/2023,190.41,191.65,192.36,187.15,116.53M,-0.94%,-2.83%,0.00%,-0.94%,,,,,0.00%
3/23/2023,192.22,195.26,199.31,188.65,144.19M,0.56%,-2.84%,0.56%,0.00%,,,,,0.00%
3/22/2023,191.15,199.3,200.66,190.95,150.38M,-3.25%,-2.87%,0.00%,-3.25%,,,,,0.00%
3/21/2023,197.58,188.28,198,188.04,153.39M,7.82%,-2.88%,7.82%,0.00%,,,,,0.00%
3/20/2023,183.25,178.08,186.44,176.35,129.68M,1.73%,-2.89%,1.73%,0.00%,,,,,0.00%
3/17/2023,180.13,184.51,186.22,177.33,133.20M,-2.17%,-2.90%,0.00%,-2.17%,,,,,0.00%
3/16/2023,184.13,180.37,185.81,178.84,121.37M,2.04%,-2.90%,2.04%,0.00%,,,,,0.00%
3/15/2023,180.45,180.8,182.34,176.03,146.00M,-1.53%,-2.99%,0.00%,-1.53%,,,,,0.00%
3/14/2023,183.26,177.31,183.8,177.14,143.72M,5.03%,-3.01%,5.03%,0.00%,,,,,0.00%
3/13/2023,174.48,167.46,177.35,163.91,167.79M,0.60%,-3.03%,0.60%,0.00%,,,,,0.00%
3/10/2023,173.44,175.13,178.29,168.44,191.49M,0.30%,-3.04%,0.30%,0.00%,,,,,0.00%
3/9/2023,172.92,180.25,185.18,172.51,170.02M,-4.99%,-3.10%,0.00%,-4.99%,,,,,0.00%
3/8/2023,182,185.04,186.5,180,151.90M,-3.04%,-3.14%,0.00%,-3.04%,,,,,0.00%
3/7/2023,187.71,191.38,194.2,186.1,148.13M,-3.15%,-3.15%,0.00%,-3.15%,,,,,0.00%
3/6/2023,193.81,198.54,198.6,192.3,128.10M,-2.01%,-3.16%,0.00%,-2.01%,,,,,0.00%
3/3/2023,197.79,194.79,200.48,192.88,154.19M,3.61%,-3.16%,3.61%,0.00%,,,,,0.00%
3/2/2023,190.9,186.74,193.75,186.01,181.98M,-5.85%,-3.25%,0.00%,-5.85%,,,,,0.00%
3/1/2023,202.77,206.21,207.2,198.52,156.85M,-1.43%,-3.27%,0.00%,-1.43%,,,,,0.00%
2/28/2023,205.71,210.59,211.23,203.75,153.14M,-0.92%,-3.32%,0.00%,-0.92%,,,,,0.00%
2/27/2023,207.63,202.03,209.42,201.26,161.03M,5.46%,-3.35%,5.46%,0.00%,,,,,0.00%
2/24/2023,196.88,196.32,197.67,192.8,142.23M,-2.57%,-3.40%,0.00%,-2.57%,,,,,0.00%
2/23/2023,202.07,203.91,205.14,196.33,146.36M,0.60%,-3.55%,0.60%,0.00%,,,,,0.00%
2/22/2023,200.86,197.93,201.99,191.78,191.83M,1.77%,-3.63%,1.77%,0.00%,,,,,0.00%
2/21/2023,197.37,204.99,209.71,197.22,180.02M,-5.25%,-3.65%,0.00%,-5.25%,,,,,0.00%
2/17/2023,208.31,199.99,208.44,197.5,213.74M,3.10%,-3.67%,3.10%,0.00%,,,,,0.00%
2/16/2023,202.04,210.78,217.65,201.84,229.59M,-5.69%,-3.67%,0.00%,-5.69%,,,,,0.00%
2/15/2023,214.24,211.75,214.66,206.11,182.11M,2.38%,-3.69%,2.38%,0.00%,,,,,0.00%
2/14/2023,209.25,191.94,209.82,189.44,216.46M,7.51%,-3.81%,7.51%,0.00%,,,,,0.00%
2/13/2023,194.64,194.41,196.3,187.61,172.48M,-1.14%,-3.92%,0.00%,-1.14%,,,,,0.00%
2/10/2023,196.89,202.22,206.2,192.89,204.75M,-5.03%,-3.93%,0.00%,-5.03%,,,,,0.00%
2/9/2023,207.32,207.78,214,204.77,215.43M,3.00%,-4.01%,3.00%,0.00%,,,,,0.00%
2/8/2023,201.29,196.1,203,194.31,180.67M,2.28%,-4.12%,2.28%,0.00%,,,,,0.00%
2/7/2023,196.81,196.43,197.5,189.55,186.01M,1.05%,-4.23%,1.05%,0.00%,,,,,0.00%
2/6/2023,194.76,193.01,198.17,189.92,186.19M,2.52%,-4.31%,2.52%,0.00%,,,,,0.00%
2/3/2023,189.98,183.95,199,183.69,232.66M,0.91%,-4.54%,0.91%,0.00%,,,,,0.00%
2/2/2023,188.27,187.32,196.75,182.61,217.45M,3.78%,-4.78%,3.78%,0.00%,,,,,0.00%
2/1/2023,181.41,173.89,183.81,169.93,213.81M,4.73%,-4.79%,4.73%,0.00%,,,,,0.00%
1/31/2023,173.22,164.57,174.3,162.78,196.81M,3.94%,-4.90%,3.94%,0.00%,,,,,0.00%
1/30/2023,166.66,178.05,179.77,166.5,230.88M,-6.32%,-4.99%,0.00%,-6.32%,,,,,0.00%
1/27/2023,177.9,162.43,180.68,161.17,306.59M,11.00%,-5.03%,11.00%,0.00%,,,,,0.00%
1/26/2023,160.27,159.97,161.42,154.76,234.82M,10.97%,-5.06%,10.97%,0.00%,,,,,0.00%
1/25/2023,144.43,141.91,146.41,138.07,192.73M,0.38%,-5.25%,0.38%,0.00%,,,,,0.00%
1/24/2023,143.89,143,146.5,141.1,158.70M,0.10%,-5.43%,0.10%,0.00%,,,,,0.00%
1/23/2023,143.75,135.87,145.38,134.27,203.12M,7.74%,-5.46%,7.74%,0.00%,,,,,0.00%
1/20/2023,133.42,128.68,133.51,127.35,138.86M,4.91%,-5.46%,4.91%,0.00%,,,,,0.00%
1/19/2023,127.17,127.26,129.99,124.31,170.29M,-1.25%,-5.59%,0.00%,-1.25%,,,,,0.00%
1/18/2023,128.78,136.56,136.68,127.01,195.68M,-2.06%,-5.69%,0.00%,-2.06%,,,,,0.00%
1/17/2023,131.49,125.69,131.7,125.02,186.48M,7.43%,-5.85%,7.43%,0.00%,,,,,0.00%
1/13/2023,122.4,116.55,122.63,115.6,180.71M,-0.94%,-6.06%,0.00%,-0.94%,,,,,0.00%
1/12/2023,123.56,122.56,124.13,117,169.40M,0.28%,-6.12%,0.28%,0.00%,,,,,0.00%
1/11/2023,123.22,122.09,125.95,120.51,183.81M,3.68%,-6.32%,3.68%,0.00%,,,,,0.00%
1/10/2023,118.85,121.07,122.76,114.92,167.64M,-0.77%,-7.16%,0.00%,-0.77%,,,,,0.00%
1/9/2023,119.77,118.96,123.52,117.11,190.28M,5.93%,-9.30%,5.93%,0.00%,,,,,0.00%
1/6/2023,113.06,103,114.39,101.81,220.91M,2.47%,-9.74%,2.47%,0.00%,,,,,0.00%
1/5/2023,110.34,110.51,111.75,107.16,157.99M,-2.90%,-9.75%,0.00%,-2.90%,,,,,0.00%
1/4/2023,113.64,109.11,114.59,107.52,180.39M,5.12%,-12.13%,5.12%,0.00%,,,,,0.00%
1/3/2023,108.1,118.47,118.8,104.64,231.40M,-12.24%,-12.24%,0.00%,-12.24%,,,,,0.00%
